notification_id,user_id,notification_title,notification_content
1,17,새 뱃지 획득,Here comes a new challenger! 뱃지를 획득했습니다! (첫 챌린지 참여)
2,17,새 뱃지 획득,"와우 친구들, 대머리 아저씨야 뱃지를 획득했습니다! ('운동' 카테고리 챌린지 첫 참여)"
3,17,새 뱃지 획득,손에 손 잡고 뱃지를 획득했습니다! (첫 챌린지 개최)
4,17,새 뱃지 획득,이제 바질을 곁들인 뱃지를 획득했습니다! ('식단' 카테고리 챌린지 첫 참여)
5,17,챌린지 매칭 완료,프로젝트 망고 챌린지의 매칭이 완료되었습니다! 지금 바로 시작하세요!
6,17,챌린지 매칭 완료,프로젝트 오렌지 챌린지의 매칭이 완료되었습니다! 지금 바로 시작하세요!
7,17,새 뱃지 획득,약 드실 시간입니다 뱃지를 획득했습니다! ('영양제' 카테고리 챌린지 첫 참여)
8,17,새 뱃지 획득,삼위일체 뱃지를 획득했습니다! (모든 카테고리 챌린지를 한 번씩 참여)
9,17,챌린지 매칭 완료,프로젝트 딸기 챌린지의 매칭이 완료되었습니다! 지금 바로 시작하세요!
10,17,챌린지 매칭 완료,프로젝트 바나나 챌린지의 매칭이 완료되었습니다! 지금 바로 시작하세요!
11,18,챌린지 매칭 완료,프로젝트 바나나 챌린지의 매칭이 완료되었습니다! 지금 바로 시작하세요!
15,17,새 뱃지 획득,"나, 강림 뱃지를 획득했습니다! (최초로 게시글 작성)"
16,17,새 뱃지 획득,무플방지위원회 뱃지를 획득했습니다! (최초로 댓글 작성)
17,18,새 뱃지 획득,Here comes a new challenger! 뱃지를 획득했습니다! (첫 챌린지 참여)
18,18,새 뱃지 획득,"와우 친구들, 대머리 아저씨야 뱃지를 획득했습니다! ('운동' 카테고리 챌린지 첫 참여)"
19,17,챌린지에 새 멤버 합류,프로젝트 오렌지 챌린지에 새 멤버가 합류했습니다!@5555
20,18,새 뱃지 획득,무플방지위원회 뱃지를 획득했습니다! (최초로 댓글 작성)
21,18,새 뱃지 획득,이제 바질을 곁들인 뱃지를 획득했습니다! ('식단' 카테고리 챌린지 첫 참여)
22,17,챌린지에 새 멤버 합류,프로젝트 망고 챌린지에 새 멤버가 합류했습니다!@5555
29,18,새 뱃지 획득,"나, 강림 뱃지를 획득했습니다! (최초로 게시글 작성)"
30,25,새 뱃지 획득,Here comes a new challenger! 뱃지를 획득했습니다! (첫 챌린지 참여)
31,25,새 뱃지 획득,약 드실 시간입니다 뱃지를 획득했습니다! ('영양제' 카테고리 챌린지 첫 참여)
32,17,챌린지에 새 멤버 합류,프로젝트 바나나 챌린지에 새 멤버가 합류했습니다!@테스트789
33,17,챌린지에 새 멤버 합류,프로젝트 딸기 챌린지에 새 멤버가 합류했습니다!@테스트789
34,26,새 뱃지 획득,Here comes a new challenger! 뱃지를 획득했습니다! (첫 챌린지 참여)
35,26,새 뱃지 획득,약 드실 시간입니다 뱃지를 획득했습니다! ('영양제' 카테고리 챌린지 첫 참여)
36,17,챌린지에 새 멤버 합류,프로젝트 바나나 챌린지에 새 멤버가 합류했습니다!@야호
37,26,새 뱃지 획득,"와우 친구들, 대머리 아저씨야 뱃지를 획득했습니다! ('운동' 카테고리 챌린지 첫 참여)"
38,17,챌린지에 새 멤버 합류,프로젝트 바나나 챌린지에 새 멤버가 합류했습니다!@야호
39,25,새 뱃지 획득,무플방지위원회 뱃지를 획득했습니다! (최초로 댓글 작성)
40,25,새 뱃지 획득,"와우 친구들, 대머리 아저씨야 뱃지를 획득했습니다! ('운동' 카테고리 챌린지 첫 참여)"
41,17,챌린지에 새 멤버 합류,프로젝트 바나나 챌린지에 새 멤버가 합류했습니다!@테스트789
42,26,새 뱃지 획득,무플방지위원회 뱃지를 획득했습니다! (최초로 댓글 작성)
43,27,새 뱃지 획득,Here comes a new challenger! 뱃지를 획득했습니다! (첫 챌린지 참여)
44,27,새 뱃지 획득,"와우 친구들, 대머리 아저씨야 뱃지를 획득했습니다! ('운동' 카테고리 챌린지 첫 참여)"
45,17,챌린지에 새 멤버 합류,프로젝트 바나나 챌린지에 새 멤버가 합류했습니다!@안녕싸피
46,29,새 뱃지 획득,Here comes a new challenger! 뱃지를 획득했습니다! (첫 챌린지 참여)
47,29,새 뱃지 획득,약 드실 시간입니다 뱃지를 획득했습니다! ('영양제' 카테고리 챌린지 첫 참여)
48,17,챌린지에 새 멤버 합류,프로젝트 바나나 챌린지에 새 멤버가 합류했습니다!@네이버
49,29,새 뱃지 획득,"와우 친구들, 대머리 아저씨야 뱃지를 획득했습니다! ('운동' 카테고리 챌린지 첫 참여)"
50,29,새 뱃지 획득,손에 손 잡고 뱃지를 획득했습니다! (첫 챌린지 개최)
55,29,챌린지 매칭 완료,매일 스쿼트 챌린지의 매칭이 완료되었습니다! 지금 바로 시작하세요!
56,29,챌린지 매칭 완료,매일 스트레칭 챌린지의 매칭이 완료되었습니다! 지금 바로 시작하세요!
57,29,챌린지에 새 멤버 합류,new project 챌린지에 새 멤버가 합류했습니다!
65,29,새 뱃지 획득,"나, 강림 뱃지를 획득했습니다! (최초로 게시글 작성)"
67,29,챌린지에 새 멤버 합류,"매일 김재현 팀장님과 걷기
 챌린지에 새 멤버가 합류했습니다!@테스트789"
